"NAME OF CONTRIBUTOR"	"CITY"	"STATE/ZIP"	"ID NUMBER"	"EMPLOYER"	"OCCUPATION"	"AMOUNT"	"TRANSACTION TYPE"	"TYPE"	"TRANS. DATE"	"FILED DATE"	"TRANS #"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $2,370.82"	"LATE INDEPENDENT EXPENDITURE"	"AMENDMENT #1"	"06/04/2018"	"07/05/2018"	"2260925-S496-2297"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $1,405.50"	"LATE INDEPENDENT EXPENDITURE"	"AMENDMENT #1"	"05/30/2018"	"07/05/2018"	"2260925-S496-2290"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $318.27"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"05/08/2018"	"05/19/2018"	"2251037-S496-2272"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $1,323.80"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"05/04/2018"	"05/19/2018"	"2251037-S496-2254"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $140.00"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"05/03/2018"	"05/19/2018"	"2251037-S496-2253"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $1,572.54"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"05/08/2018"	"05/19/2018"	"2251037-S496-2247"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $3,082.16"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"05/02/2018"	"05/19/2018"	"2251037-S496-2233"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $1,615.00"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"05/01/2018"	"05/11/2018"	"2248646-S496-2250"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $2,860.94"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"04/30/2018"	"05/11/2018"	"2248646-S496-2248"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $551.91"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"04/25/2018"	"05/11/2018"	"2248646-S496-2234"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $5,250.00"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"04/16/2018"	"04/28/2018"	"2240226-S496-2206"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $7,647.62"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"04/04/2018"	"04/16/2018"	"2231757-S496-2167"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $1,275.00"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"04/04/2018"	"04/16/2018"	"2231757-S496-2166"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $3,970.97"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"04/03/2018"	"04/11/2018"	"2230459-S496-2176"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"              $12.17"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"04/01/2018"	"04/11/2018"	"2230459-S496-2174"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $3,367.03"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"04/03/2018"	"04/11/2018"	"2230459-S496-2164"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"          $11,400.00"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"03/26/2018"	"04/08/2018"	"2229151-S496-2156"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $2,250.00"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"03/25/2018"	"04/08/2018"	"2229151-S496-2150"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $2,670.44"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"03/19/2018"	"03/30/2018"	"2226762-S496-2145"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $1,829.67"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"03/11/2018"	"03/30/2018"	"2226762-S496-2133"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $1,103.45"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"03/11/2018"	"03/30/2018"	"2226762-S496-2129"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $2,094.88"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"02/25/2018"	"03/07/2018"	"2220326-S496-2098"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $2,750.00"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"02/25/2018"	"03/07/2018"	"2220326-S496-2097"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $4,427.71"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"03/01/2018"	"03/07/2018"	"2220326-S496-2091"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $2,967.21"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"03/01/2018"	"03/07/2018"	"2220326-S496-2090"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $2,250.00"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"02/13/2018"	"02/28/2018"	"2219087-S496-2077"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"              $12.17"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"02/12/2018"	"02/28/2018"	"2219087-S496-2076"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $3,538.91"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"02/13/2018"	"02/28/2018"	"2219087-S496-2056"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $2,514.11"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"02/06/2018"	"02/23/2018"	"2218496-S496-2057"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $3,165.03"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"02/05/2018"	"02/23/2018"	"2218496-S496-2047"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $1,264.53"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"02/04/2018"	"02/08/2018"	"2214011-S496-2045"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $4,054.89"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"02/04/2018"	"02/08/2018"	"2214011-S496-2041"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $916.31"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"02/02/2018"	"02/08/2018"	"2214011-S496-2034"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $289.59"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"01/29/2018"	"02/08/2018"	"2214011-S496-2030"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $104.71"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"01/25/2018"	"02/08/2018"	"2214011-S496-2007"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $1,500.00"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"01/19/2018"	"01/28/2018"	"2207012-S496-2015"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $182.85"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"01/15/2018"	"01/28/2018"	"2207012-S496-2005"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $5,250.00"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"01/22/2018"	"01/28/2018"	"2207012-S496-2002"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $367.43"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"01/13/2018"	"01/28/2018"	"2207012-S496-1960"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $1,124.49"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"01/09/2018"	"01/28/2018"	"2206999-S496-1973"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $143.88"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"01/12/2018"	"01/28/2018"	"2206999-S496-1958"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $3,500.00"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"01/12/2018"	"01/28/2018"	"2206999-S496-1957"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $922.48"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"01/09/2018"	"01/28/2018"	"2206999-S496-1952"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"              $85.98"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"01/06/2018"	"01/28/2018"	"2206999-S496-1945"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $1,039.72"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"12/31/2017"	"01/15/2018"	"2201951-S496-1976"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $3,249.42"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"12/31/2017"	"01/15/2018"	"2201951-S496-1974"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $5,438.83"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"12/31/2017"	"01/15/2018"	"2201951-S496-1940"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $146.65"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"12/27/2017"	"01/15/2018"	"2201951-S496-1937"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"              $81.65"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"12/18/2017"	"01/15/2018"	"2201951-S496-1904"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $4,195.44"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"12/15/2017"	"01/01/2018"	"2199549-S496-1914"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $556.51"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"12/15/2017"	"01/01/2018"	"2199549-S496-1894"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $1,362.41"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"12/12/2017"	"01/01/2018"	"2199549-S496-1865"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $5,188.26"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"12/08/2017"	"12/22/2017"	"2199092-S496-1847"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $2,009.44"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"12/08/2017"	"12/22/2017"	"2199092-S496-1838"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $611.23"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"12/07/2017"	"12/22/2017"	"2199092-S496-1824"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $2,500.04"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"12/08/2017"	"12/22/2017"	"2199092-S496-1823"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"              $87.25"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"12/07/2017"	"12/22/2017"	"2199092-S496-1822"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $1,848.66"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"12/04/2017"	"12/18/2017"	"2198621-S496-1843"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $2,404.48"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"12/04/2017"	"12/18/2017"	"2198621-S496-1842"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $116.46"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"11/30/2017"	"12/18/2017"	"2198621-S496-1841"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $964.74"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"12/03/2017"	"12/18/2017"	"2198621-S496-1815"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $116.56"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"12/02/2017"	"12/18/2017"	"2198621-S496-1811"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $554.08"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"11/27/2017"	"11/30/2017"	"2197284-S496-1777"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"          $11,401.50"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"11/27/2017"	"11/30/2017"	"2197284-S496-1761"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"          $18,000.00"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"11/27/2017"	"11/30/2017"	"2197284-S496-1756"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"          $27,174.07"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"11/27/2017"	"11/30/2017"	"2197284-S496-1754"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"          $12,350.89"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"11/27/2017"	"11/30/2017"	"2197284-S496-1752"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $7,732.71"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"11/27/2017"	"11/30/2017"	"2197284-S496-1751"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"              $59.56"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"11/23/2017"	"11/30/2017"	"2197284-S496-1747"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $2,096.09"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"11/25/2017"	"11/30/2017"	"2197284-S496-1746"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $3,787.53"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"11/27/2017"	"11/30/2017"	"2197284-S496-1743"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"          $68,533.61"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"11/27/2017"	"11/30/2017"	"2197284-S496-1724"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"              $32.00"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"10/18/2017"	"11/30/2017"	"2197277-S496-1741"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $347.95"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"10/17/2017"	"11/30/2017"	"2197277-S496-1740"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"              $27.82"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"10/18/2017"	"11/30/2017"	"2197277-S496-1739"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"              $34.86"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"10/18/2017"	"11/30/2017"	"2197277-S496-1738"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $705.15"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"10/19/2017"	"11/30/2017"	"2197277-S496-1737"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $231.61"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"10/20/2017"	"11/30/2017"	"2197277-S496-1736"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $387.57"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"10/24/2017"	"11/30/2017"	"2197277-S496-1734"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $117.97"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"10/25/2017"	"11/30/2017"	"2197277-S496-1733"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"              $41.89"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"11/08/2017"	"11/30/2017"	"2197277-S496-1732"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"         $217,414.15"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"11/16/2017"	"11/30/2017"	"2197277-S496-1725"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $1,316.71"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"10/10/2017"	"11/30/2017"	"2197277-S496-1703"
"GAS TAX REPEAL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $958.98"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"10/13/2017"	"11/30/2017"	"2197277-S496-1702"
"SENATE DISTRICT 29 RECALL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $4,000.00"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"06/24/2017"	"07/10/2017"	"2166211-S496-1542"
"SENATE DISTRICT 29 RECALL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $687.13"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"06/24/2017"	"07/10/2017"	"2166211-S496-1517"
"SENATE DISTRICT 29 RECALL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $111.46"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"06/24/2017"	"07/10/2017"	"2166211-S496-1496"
"SENATE DISTRICT 29 RECALL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $2,100.00"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"06/24/2017"	"07/10/2017"	"2166211-S496-1495"
"SENATE DISTRICT 29 RECALL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $3,002.73"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"06/23/2017"	"07/10/2017"	"2166211-S496-1494"
"SENATE DISTRICT 29 RECALL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"              $37.99"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"06/20/2017"	"07/10/2017"	"2166211-S496-1484"
"SENATE DISTRICT 29 RECALL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"              $10.00"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"06/18/2017"	"07/03/2017"	"2165321-S496-1481"
"SENATE DISTRICT 29 RECALL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $2,800.00"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"06/17/2017"	"07/03/2017"	"2165321-S496-1466"
"SENATE DISTRICT 29 RECALL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $801.44"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"06/17/2017"	"07/03/2017"	"2165321-S496-1446"
"SENATE DISTRICT 29 RECALL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $1,500.54"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"06/19/2017"	"07/03/2017"	"2165321-S496-1442"
"SENATE DISTRICT 29 RECALL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"               $8.17"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"06/17/2017"	"07/03/2017"	"2165321-S496-1433"
"SENATE DISTRICT 29 RECALL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $950.00"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"06/13/2017"	"06/30/2017"	"2165151-S496-1451"
"SENATE DISTRICT 29 RECALL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $159.96"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"06/16/2017"	"06/30/2017"	"2165151-S496-1436"
"SENATE DISTRICT 29 RECALL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $115.85"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"06/13/2017"	"06/30/2017"	"2165151-S496-1435"
"SENATE DISTRICT 29 RECALL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $3,000.76"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"06/16/2017"	"06/30/2017"	"2165151-S496-1431"
"SENATE DISTRICT 29 RECALL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $1,500.00"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"06/13/2017"	"06/30/2017"	"2165151-S496-1413"
"SENATE DISTRICT 29 RECALL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"              $10.50"	"LATE INDEPENDENT EXPENDITURE"	"AMENDMENT #1"	"06/10/2017"	"06/30/2017"	"2163899-S496-1467"
"SENATE DISTRICT 29 RECALL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $3,761.67"	"LATE INDEPENDENT EXPENDITURE"	"AMENDMENT #1"	"06/11/2017"	"06/30/2017"	"2163899-S496-1420"
"SENATE DISTRICT 29 RECALL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $200.00"	"LATE INDEPENDENT EXPENDITURE"	"AMENDMENT #1"	"06/10/2017"	"06/30/2017"	"2163899-S496-1411"
"SENATE DISTRICT 29 RECALL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $2,200.00"	"LATE INDEPENDENT EXPENDITURE"	"AMENDMENT #1"	"06/11/2017"	"06/30/2017"	"2163899-S496-1405"
"SENATE DISTRICT 29 RECALL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $110.70"	"LATE INDEPENDENT EXPENDITURE"	"AMENDMENT #1"	"06/11/2017"	"06/30/2017"	"2163899-S496-1386"
"SENATE DISTRICT 29 RECALL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"              $90.26"	"LATE INDEPENDENT EXPENDITURE"	"AMENDMENT #1"	"06/11/2017"	"06/30/2017"	"2163899-S496-1384"
"SENATE DISTRICT 29 RECALL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $377.37"	"LATE INDEPENDENT EXPENDITURE"	"AMENDMENT #1"	"06/10/2017"	"06/30/2017"	"2163899-S496-1383"
"SENATE DISTRICT 29 RECALL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $356.96"	"LATE INDEPENDENT EXPENDITURE"	"AMENDMENT #1"	"06/07/2017"	"06/30/2017"	"2163899-S496-1381"
"SENATE DISTRICT 29 RECALL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"              $15.17"	"LATE INDEPENDENT EXPENDITURE"	"AMENDMENT #1"	"06/06/2017"	"06/30/2017"	"2163899-S496-1380"
"SENATE DISTRICT 29 RECALL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $400.00"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"06/04/2017"	"06/16/2017"	"2163378-S496-1409"
"SENATE DISTRICT 29 RECALL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"           $3,850.00"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"06/04/2017"	"06/16/2017"	"2163378-S496-1393"
"SENATE DISTRICT 29 RECALL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"              $55.86"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"06/04/2017"	"06/16/2017"	"2163378-S496-1339"
"SENATE DISTRICT 29 RECALL"	""	""	""	"MEASURE TBD"	"SUPPORT"	"             $562.41"	"LATE INDEPENDENT EXPENDITURE"	"INITIAL"	"06/04/2017"	"06/16/2017"	"2163378-S496-1338"
